"id_national","month","andeb","anfin","tmm","tnm","txm","rrtm"
57272111,2,1961,1990,13.2,7.8,18.5,9.8
57272111,3,1961,1990,15.9,10.4,21.3,17
57272111,4,1961,1990,18.7,12.4,24.9,10.2
57272111,5,1961,1990,22.9,16.5,29.4,7
57272111,6,1961,1990,26.8,19.9,33.7,0.6
57272111,7,1961,1990,29.2,22.1,36.2,0.1
57272111,8,1961,1990,29.4,22.4,36.2,1.7
57272111,9,1961,1990,28.5,22,34.9,8.7
57272111,10,1961,1990,25.2,18.9,31.5,13.4
57272111,11,1961,1990,17.5,12.4,22.7,7.6
57272111,12,1961,1990,12,7.1,16.9,11.9
57272511,1,1961,1990,11.5,6.6,16.5,6.8
57272511,2,1961,1990,13.7,8,19.2,7.2
57272511,3,1961,1990,15.7,9.7,21.7,20.1
57272511,4,1961,1990,19.4,12.7,26.1,11.9
57272511,5,1961,1990,23.4,16,30.7,4.1
57272511,6,1961,1990,27.3,19.4,35.1,2.1
57272511,7,1961,1990,29,21,36.8,0.2
57272511,8,1961,1990,29.6,21.8,37.2,0.2
57272511,9,1961,1990,26.8,20.1,33.4,5.8
57272511,10,1961,1990,22,16,27.9,12.6
57272511,11,1961,1990,16.4,11.1,21.8,9.3
57272511,12,1961,1990,12.2,7.3,17.1,11.3
57272512,1,1961,1990,10.3,4,16.5,7.4
57272512,2,1961,1990,12.8,5.9,19.7,2.6
57272512,3,1961,1990,16.1,8.9,23.1,14.2
57272512,4,1961,1990,21.2,13.7,28.6,2.9
57272512,5,1961,1990,25.6,17.8,33.4,1
57272512,6,1961,1990,30.6,22.3,38.8,0.6
57272512,7,1961,1990,31.7,23.5,39.9,0.1
57272512,8,1961,1990,31.8,23.7,39.8,0.1
57272512,9,1961,1990,28.5,21.1,35.8,2.5
57272512,10,1961,1990,23.4,16.5,30.1,3.9
57272512,11,1961,1990,16.1,9.8,22.3,7
57272512,12,1961,1990,10.9,4.9,16.8,7.1
64545111,1,1961,1990,9.4,4.1,14.7,20.6
64545111,2,1961,1990,11.1,5.4,17,15.8
64545111,3,1961,1990,13.7,7.7,19.7,21.8
64545111,4,1961,1990,17.1,10.7,23.6,12.1
64545111,5,1961,1990,21.7,14.8,28.7,12.8
64545111,6,1961,1990,26.1,18.7,33.7,7.4
64545111,7,1961,1990,28.9,21.3,36.8,0.6
64545111,8,1961,1990,28.7,21.5,36.2,5.9
64545111,9,1961,1990,25.3,18.8,31.6,20
64545111,10,1961,1990,19.8,14,25.7,20.7
64545111,11,1961,1990,14,8.4,19.8,14.4
64545111,12,1961,1990,10,4.7,15.4,21.6
64646111,1,1961,1990,7.7,2.1,13.3,19.7
